MasVnrType_Stone,ExterQual_Gd,Age,WoodDeckSF,EnclosedPorch,BsmtQual_Gd,BldgType_Twnhs,BsmtFinSF2,Exterior1st_CemntBd,GarageFinish_Unf,Exterior1st_VinylSd,GarageType_Attchd,HalfBath,FireplaceQu_no_fireplace,GrLivArea,MSSubClass,Neighborhood_NridgHt,FullBath,BsmtFinSF1,Neighborhood_NoRidge,Foundation_CBlock,GarageArea,BsmtUnfSF,BsmtExposure_Gd,GarageFinish_RFn,Exterior1st_BrkFace,HeatingQC_TA,Condition1_Norm,Functional_Typ,Neighborhood_Crawfor,MSZoning_RM,1stFlrSF,BldgType_Duplex,MasVnrArea,BldgType_TwnhsE,Neighborhood_StoneBr,KitchenQual_Fa,ScreenPorch,MSZoning_FV,AgeRemod,GarageType_BuiltIn,LotArea,OpenPorchSF,BsmtFinType1_GLQ,OverallQual,LotFrontage,OverallCond,BsmtQual_Fa,SalePrice
1,0,1,147,0,0,0,0,0,0,0,0,0,0,2324,60,1,3,998,0,0,736,177,0,0,0,0,1,1,0,0,1182,0,286.0,0,0,0,0,0,0,1,11924,21,1,9,85.0,5,0,345000
0,0,46,140,0,0,0,0,0,1,0,0,0,1,912,20,0,1,737,0,1,352,175,0,0,0,1,1,1,0,0,912,0,0.0,0,0,0,176,0,46,0,12968,0,0,5,69.0,6,0,144000
1,1,1,160,0,1,0,0,0,0,1,1,0,0,1494,20,0,2,0,0,0,840,1494,0,1,0,0,1,1,0,0,1494,0,306.0,0,0,0,0,0,0,0,10652,33,0,7,91.0,5,0,279500
0,0,78,48,0,0,0,0,0,1,0,0,0,1,854,45,0,1,0,0,0,576,832,0,0,0,0,1,1,0,1,854,0,0.0,0,0,0,0,0,6,0,6120,112,0,7,51.0,8,0,132000
0,0,40,0,0,0,0,0,0,0,0,1,0,0,1004,20,0,1,578,0,1,480,426,0,0,0,0,1,1,0,0,1004,0,180.0,0,0,0,0,0,40,0,11241,0,0,6,69.0,7,0,149000
0,0,39,0,0,0,0,0,0,1,0,0,0,1,1296,90,0,2,0,0,0,516,0,0,0,0,1,1,1,0,0,1296,1,0.0,0,0,0,0,0,39,0,10791,0,0,4,72.0,5,0,90000
0,0,4,0,0,0,0,0,0,1,1,0,1,1,1114,20,0,1,646,0,0,576,468,0,0,0,0,0,1,0,0,1114,0,0.0,0,0,0,0,0,4,0,13695,102,1,5,66.0,5,0,159000
0,0,51,0,0,0,0,0,0,1,0,1,0,1,1339,20,0,1,504,0,1,294,525,0,0,1,1,1,0,0,0,1339,0,0.0,0,0,0,0,0,44,0,7560,0,0,5,70.0,6,0,139000
0,1,1,240,0,0,0,0,0,0,1,0,1,0,2376,60,1,3,0,0,0,853,1158,0,1,0,0,1,1,0,0,1158,0,380.0,0,0,0,0,0,0,1,14215,154,0,8,101.0,5,0,325300
0,0,77,0,205,0,0,0,0,1,0,1,0,0,1108,45,0,1,0,0,0,280,637,0,0,0,0,1,1,0,1,1108,0,0.0,0,0,0,0,0,57,0,7449,0,0,7,57.0,7,0,139400
0,1,6,171,0,1,0,0,0,0,1,1,0,0,1795,20,0,2,0,0,0,534,1777,0,1,0,0,1,1,0,0,1795,0,281.0,0,0,0,0,0,6,0,9742,159,0,8,75.0,5,0,230000
0,0,31,100,0,1,0,0,1,1,0,1,0,0,1060,120,0,1,840,0,0,572,200,0,0,0,1,1,1,0,1,1060,0,0.0,1,0,0,0,0,31,0,4224,110,1,5,44.0,7,0,129900
1,1,2,0,0,1,0,0,0,0,1,1,0,0,1600,20,1,2,0,0,0,890,1566,0,1,0,0,1,1,0,0,1600,0,640.0,0,0,0,0,0,2,0,14230,56,0,8,110.0,5,0,256300
0,0,59,222,0,0,0,486,0,1,0,0,0,1,900,20,0,1,234,0,1,576,180,0,0,0,1,1,1,0,0,900,0,0.0,0,0,0,0,0,10,0,7200,32,0,5,60.0,7,0,134800
1,1,3,0,0,0,0,0,0,0,1,1,0,0,1704,20,1,2,1218,0,0,772,486,0,1,0,0,1,1,0,0,1704,0,200.0,0,0,0,0,0,2,0,11478,50,1,8,98.0,5,0,306000
0,0,81,49,87,0,0,0,0,1,0,0,0,1,520,30,0,1,0,0,0,240,520,0,0,0,0,0,1,0,1,520,0,0.0,0,0,1,0,0,58,0,6324,0,0,4,60.0,6,0,68500
0,0,88,0,172,0,0,0,0,1,0,0,0,1,1317,70,0,1,0,0,0,250,649,0,0,1,1,0,1,0,0,649,0,0.0,0,0,0,0,0,58,0,8500,54,0,4,50.0,4,0,40000
0,0,42,0,0,0,0,0,0,1,0,1,1,1,1228,20,0,1,0,0,1,271,1228,0,0,0,0,1,1,0,0,1228,0,0.0,0,0,0,0,0,2,0,8544,65,0,5,69.0,6,0,149350
0,1,1,0,0,0,0,0,0,0,1,1,0,1,1234,20,0,2,0,0,0,484,1234,0,1,0,0,1,1,0,0,1234,0,0.0,0,0,0,0,0,1,0,11049,30,0,8,85.0,5,0,179900
0,0,51,0,0,0,0,0,0,0,0,1,1,0,1700,20,0,1,1018,0,1,447,380,0,1,1,0,1,1,0,0,1700,0,0.0,0,0,0,0,0,51,0,10552,38,0,5,70.0,5,0,165500
0,0,2,203,0,0,0,0,0,0,0,1,0,0,1561,120,1,2,1153,0,0,556,408,0,0,0,0,1,1,0,0,1561,0,246.0,1,0,0,0,0,2,0,7313,47,1,9,60.0,5,0,277500
1,1,2,113,0,0,0,0,0,0,1,0,1,0,2452,60,1,3,0,0,0,691,1117,0,0,0,0,1,1,0,0,1132,0,132.0,0,0,0,0,0,1,1,13418,32,0,8,108.0,5,0,309000
0,0,15,392,0,1,0,0,0,1,1,1,1,1,1097,20,0,1,0,0,0,672,1097,0,0,0,0,1,1,0,0,1097,0,0.0,0,0,0,0,0,14,0,10859,64,0,5,112.0,5,0,145000
0,0,55,0,0,0,0,0,0,0,0,1,0,0,1297,20,0,1,1213,0,1,498,84,0,0,0,0,1,1,0,0,1297,0,650.0,0,0,0,0,0,19,0,8532,0,0,5,74.0,6,0,153000
0,0,57,0,0,0,0,0,0,1,1,0,0,1,1057,20,0,1,731,0,1,246,326,0,0,0,1,1,1,0,0,1057,0,0.0,0,0,0,0,0,3,0,7922,52,1,5,68.0,7,0,109000
0,0,53,0,0,0,0,0,0,1,0,1,0,1,1152,90,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1152,1,0.0,0,0,1,0,0,53,0,6040,0,0,4,65.0,5,0,82000
0,0,41,0,0,0,0,0,0,0,0,1,0,0,1324,20,0,2,643,0,1,440,445,0,1,0,0,1,1,0,0,1324,0,101.0,0,0,0,0,0,41,0,8658,138,0,6,84.0,5,0,160000
0,0,48,0,0,0,0,0,0,0,1,1,1,0,1328,20,0,1,967,0,1,308,383,1,1,0,0,1,1,0,0,1328,0,0.0,0,0,0,0,0,48,0,16905,104,0,5,115.0,6,0,170000
0,0,24,240,0,1,0,93,0,0,0,1,0,1,884,85,0,1,747,0,1,504,0,0,1,0,0,1,1,0,0,884,0,0.0,0,0,0,0,0,24,0,9180,0,0,5,69.0,7,0,144000
0,0,33,145,0,1,0,491,0,1,1,0,0,1,938,20,0,1,280,0,1,308,167,0,0,0,1,1,1,0,0,938,0,0.0,0,0,0,0,0,28,0,9200,0,0,5,69.0,6,0,130250
0,0,47,0,0,0,0,506,0,0,0,1,0,1,1150,20,0,1,179,0,1,300,465,0,1,1,0,1,1,0,0,1150,0,0.0,0,0,0,0,0,47,0,7945,0,0,5,70.0,6,0,141000
0,0,5,196,0,0,0,0,0,0,0,1,0,0,1752,120,1,2,456,0,0,576,1296,0,1,0,0,1,1,0,0,1752,0,412.0,1,0,0,0,0,5,0,7658,82,1,9,61.0,5,0,319900
0,1,6,168,0,0,0,0,0,0,1,1,1,0,2149,50,0,1,1351,0,0,670,83,0,1,0,0,1,1,0,0,1518,0,0.0,0,0,0,198,0,6,0,12822,43,1,7,48.0,5,0,239686
0,1,1,0,0,1,0,0,0,0,1,1,0,1,1656,20,0,2,24,0,0,826,1632,0,1,0,0,1,1,0,0,1656,0,0.0,0,0,0,0,1,1,0,11096,146,1,8,84.0,5,0,249700
0,0,89,0,102,0,0,0,0,1,0,1,0,1,1452,190,0,2,0,0,0,0,736,0,0,0,0,1,1,0,1,736,0,0.0,0,0,0,0,0,1,0,4456,0,0,4,33.0,5,0,113000
0,0,41,0,0,0,0,0,0,1,0,1,0,1,955,20,0,1,763,0,1,386,192,0,0,0,0,1,1,0,0,955,0,0.0,0,0,0,0,0,41,0,7742,0,0,5,66.0,7,0,127000
0,0,10,0,0,1,0,0,0,0,1,1,0,1,1470,60,0,2,182,0,0,388,612,0,0,0,0,1,1,0,0,794,0,0.0,0,0,0,0,0,10,0,13869,75,1,6,69.0,6,0,177000
0,0,72,112,0,0,0,0,0,1,0,0,0,0,1176,50,0,1,0,0,0,528,816,0,0,0,1,1,1,0,1,816,0,0.0,0,0,0,0,0,56,0,6240,0,0,6,52.0,6,0,114500
0,0,47,106,0,1,0,712,0,1,0,0,0,1,816,90,0,1,104,0,1,516,0,1,0,0,1,0,1,0,1,816,1,0.0,0,0,0,0,0,47,0,8472,0,0,5,110.0,5,0,110000
0,0,52,0,0,0,0,0,0,1,0,0,0,0,1360,80,0,1,384,0,1,572,0,0,0,0,1,1,0,0,0,1360,0,0.0,0,0,0,0,0,52,0,7134,50,0,5,60.0,5,0,130000
0,0,44,0,0,0,0,0,0,0,0,1,0,0,1425,20,0,2,490,0,1,576,935,0,1,0,0,1,1,0,0,1425,0,272.0,0,0,0,0,0,44,0,10175,0,0,6,100.0,5,0,180500
0,1,10,115,0,1,1,0,0,0,0,1,1,1,1739,160,0,2,649,0,0,480,321,0,0,0,0,1,1,0,0,983,0,456.0,0,0,0,0,1,9,0,2645,0,1,8,24.0,5,0,172500
0,1,2,0,0,1,0,0,0,0,1,1,1,1,1720,60,0,2,0,0,0,565,860,0,1,0,0,1,1,0,0,860,0,0.0,0,0,0,0,0,2,0,11645,70,0,7,89.0,5,0,196500
0,0,36,196,0,0,0,0,0,1,0,0,0,1,780,20,0,1,632,0,1,352,148,0,0,0,0,1,1,0,0,780,0,0.0,0,0,0,0,0,36,0,7200,0,0,5,60.0,7,0,124900
0,0,2,0,0,1,0,0,0,1,1,0,1,1,1158,20,0,1,941,0,0,576,217,0,0,0,0,0,1,0,0,1158,0,0.0,0,0,0,0,0,2,0,13072,50,0,6,63.0,5,0,158000
0,0,87,0,144,0,0,0,0,1,0,0,0,1,1111,75,0,1,0,0,0,288,530,0,0,0,1,1,1,0,1,581,0,0.0,0,0,1,0,0,11,0,7200,0,0,5,60.0,7,0,101000
1,1,1,120,0,1,0,0,0,0,1,1,0,0,1370,120,1,2,24,0,0,484,1346,0,1,0,0,1,1,0,0,1370,0,178.0,1,0,0,0,0,1,0,6442,49,1,8,44.0,5,0,202500
0,0,89,12,64,0,0,0,0,1,0,0,0,1,1710,70,0,2,0,0,0,480,576,0,0,0,0,0,1,0,1,902,0,0.0,0,0,0,0,0,60,0,10300,11,0,7,50.0,6,0,140000
0,1,3,192,0,0,0,0,0,0,1,0,1,0,2473,60,1,2,0,0,0,852,1143,0,1,0,0,1,1,0,0,1143,0,344.0,0,0,0,0,0,2,1,9591,151,0,8,76.0,5,0,317000
0,0,40,301,0,1,0,0,0,0,0,1,0,0,2207,20,0,2,912,0,1,576,1035,1,1,0,1,0,0,0,0,2207,0,287.0,0,0,0,0,0,21,0,19900,0,1,7,69.0,5,0,180000
0,1,4,144,0,1,0,0,0,0,1,1,0,1,1479,20,0,2,1013,0,0,558,440,0,1,0,0,1,1,0,0,1479,0,167.0,0,0,0,0,0,4,0,10665,29,1,7,72.0,5,0,226000
0,0,65,0,0,0,0,0,0,1,0,1,0,1,747,30,0,1,0,0,1,220,747,0,0,0,1,0,1,0,1,747,0,0.0,0,0,0,0,0,60,0,4608,0,0,4,47.0,6,0,80000
0,1,53,0,114,0,0,0,0,0,0,1,0,0,2287,50,0,2,603,0,1,667,701,0,0,1,1,1,1,0,0,1304,0,0.0,0,0,0,0,0,53,0,15593,21,0,7,81.0,4,0,225000
0,0,34,300,0,1,0,0,0,0,0,1,0,0,2223,20,0,2,1880,0,1,516,343,1,0,0,0,1,1,0,0,2223,0,1115.0,0,0,0,0,0,34,0,13651,0,0,7,95.0,6,0,244000
0,0,25,0,0,0,0,0,0,1,0,0,0,1,845,20,0,1,565,0,1,360,280,0,0,0,1,1,1,0,0,845,0,0.0,0,0,0,0,0,1,0,7599,0,0,4,69.0,6,0,129500
0,0,11,0,0,1,0,0,0,0,1,1,1,0,1718,60,0,2,0,0,0,427,832,0,0,0,0,1,1,0,0,885,0,40.0,0,0,0,291,0,11,0,10141,94,0,7,74.0,5,0,185000
0,0,56,0,0,0,0,362,0,1,0,1,0,1,1086,20,0,1,320,0,1,490,404,0,0,0,0,1,1,0,0,1086,0,104.0,0,0,0,0,0,7,0,10200,0,0,5,85.0,7,0,144900
0,1,95,0,202,0,0,0,0,1,1,0,0,1,1605,50,0,2,0,0,1,379,840,0,0,0,0,1,1,0,1,840,0,0.0,0,0,0,0,0,60,0,5790,0,0,3,60.0,6,1,107400
0,0,36,120,0,1,1,0,1,1,0,0,0,1,988,180,0,1,462,0,1,297,0,1,0,0,1,1,1,0,1,526,0,0.0,0,0,0,0,0,36,1,1596,101,1,4,21.0,5,0,91000
0,0,52,0,0,0,0,0,0,1,1,0,0,1,952,20,0,1,228,0,1,283,724,0,0,0,0,1,1,0,0,952,0,0.0,0,0,0,0,0,52,0,8475,0,0,4,69.0,7,0,135750
0,0,60,0,0,0,0,41,0,1,0,0,0,1,1285,50,0,1,336,0,1,240,295,0,0,0,1,1,0,0,1,1072,0,0.0,0,0,0,0,0,7,0,8635,0,0,5,50.0,5,0,127000
0,0,42,0,0,0,0,0,0,1,0,1,0,1,1768,90,0,2,0,0,1,0,1768,0,0,0,1,1,1,0,0,1768,1,0.0,0,0,0,0,0,42,0,10778,0,0,4,72.0,5,0,136500
0,0,99,74,128,0,0,0,0,1,0,0,1,1,1230,50,0,1,0,0,0,440,440,0,0,0,0,1,1,0,1,682,0,0.0,0,0,0,0,0,28,0,10440,0,0,5,60.0,6,0,110000
0,0,41,0,0,1,0,0,0,0,1,1,1,0,2142,60,0,2,448,0,1,509,448,0,0,0,1,1,1,0,0,1182,0,576.0,0,0,0,252,0,41,0,13000,72,0,6,100.0,6,0,193500
0,0,8,0,0,0,0,0,0,0,1,1,0,1,1337,120,0,2,1201,0,0,405,36,0,0,0,0,1,1,0,1,1337,0,443.0,1,0,0,0,0,8,0,4500,199,1,6,32.0,5,0,153500
1,0,1,144,0,1,0,0,0,0,1,1,0,0,1563,20,0,2,33,0,0,758,1530,0,1,0,0,1,1,0,0,1563,0,468.0,0,0,0,0,0,1,0,10206,99,1,8,78.0,5,0,245000
0,0,47,74,0,0,0,0,0,1,0,0,1,1,1065,20,0,1,0,0,1,461,1065,0,0,0,0,1,1,0,0,1065,0,66.0,0,0,0,0,0,47,0,8892,0,0,5,80.0,5,0,126500
0,0,14,120,0,1,0,0,0,0,0,0,1,0,1474,80,0,2,0,0,0,400,384,0,0,0,0,1,1,0,0,804,0,22.0,0,0,0,0,0,13,1,8530,72,0,7,69.0,5,0,168500
0,1,15,127,0,1,0,0,0,1,0,1,1,0,2417,60,0,2,0,1,1,462,1288,0,0,0,0,1,1,0,0,1301,0,284.0,0,0,0,0,0,14,0,16059,82,0,8,121.0,5,0,260000
0,1,4,100,0,1,0,0,0,0,1,0,1,0,1560,60,0,2,0,0,0,400,684,0,0,0,0,1,1,0,0,684,0,0.0,0,0,0,0,0,4,1,11911,38,0,6,122.0,5,0,174000
0,0,94,0,156,0,0,0,0,1,0,1,0,1,1526,50,0,1,0,0,1,0,1013,0,0,0,1,0,1,0,0,1013,0,0.0,0,0,1,0,0,27,0,8470,0,0,3,105.0,2,0,85000
0,0,13,0,0,1,0,0,0,1,1,1,0,1,990,20,0,1,588,0,0,0,402,0,0,0,0,1,1,0,0,990,0,0.0,0,0,0,0,0,12,0,8070,0,1,4,60.0,5,0,123600
0,0,56,0,0,0,0,0,0,1,0,0,0,1,1040,20,0,1,0,0,0,420,0,0,0,1,1,1,1,0,0,1040,0,0.0,0,0,0,0,0,56,0,7200,29,0,4,60.0,5,0,109900
0,0,45,0,0,0,0,0,0,1,0,1,0,1,1235,20,0,1,600,0,1,480,635,0,0,0,1,1,1,0,0,1235,0,203.0,0,0,0,0,0,45,0,8500,0,0,5,85.0,3,0,98600
0,0,88,0,44,1,0,0,0,1,0,0,0,1,964,30,0,1,713,0,0,432,163,0,0,0,0,1,1,1,0,964,0,0.0,0,0,0,0,0,3,0,13360,0,0,5,80.0,7,0,163500
0,0,97,0,0,0,0,0,0,1,0,0,0,0,2291,190,0,2,1046,0,0,506,168,0,0,0,0,1,1,0,0,1260,0,0.0,0,0,0,99,0,9,0,7200,0,0,6,60.0,6,0,133900
0,0,10,0,0,1,0,0,0,0,1,1,1,1,1786,60,0,2,648,0,0,684,176,0,1,0,0,1,1,0,0,905,0,0.0,0,0,0,0,0,10,0,9337,162,1,6,69.0,5,0,204750
0,0,16,232,0,1,0,0,0,0,1,0,1,0,1470,60,0,2,310,0,0,420,370,0,0,0,0,1,1,0,0,680,0,68.0,0,0,0,0,0,16,1,9765,63,0,6,69.0,8,0,185000
0,1,7,158,0,1,0,0,0,0,1,1,0,1,1588,20,0,2,1162,0,0,472,426,0,1,0,0,1,1,0,0,1588,0,183.0,0,0,0,0,0,7,0,10264,29,0,7,78.0,5,0,214000
0,0,42,120,0,0,0,0,0,0,0,1,0,1,960,20,0,1,520,0,1,432,440,0,0,0,1,1,1,0,0,960,0,48.0,0,0,0,0,0,42,0,10921,0,0,4,73.0,5,0,94750
0,0,90,0,77,0,0,0,0,1,0,0,0,1,835,30,0,1,108,0,0,366,350,0,0,0,0,1,1,0,0,835,0,0.0,0,0,0,0,0,60,0,10625,0,0,5,85.0,5,0,83000
0,0,51,352,0,0,0,0,0,1,0,1,1,1,1225,20,0,1,569,0,1,0,381,0,0,0,0,1,1,0,0,1225,0,0.0,0,0,0,0,0,51,0,9320,0,0,4,77.0,5,0,128950
0,0,33,168,0,0,0,0,0,0,0,1,0,0,1610,20,0,2,1200,0,0,480,410,0,1,0,0,1,1,0,0,1610,0,28.0,0,0,0,0,0,9,0,10603,68,0,6,69.0,7,0,205000
0,1,25,192,0,1,0,0,0,0,0,1,1,0,1732,60,0,2,0,0,1,476,741,0,0,0,1,1,1,0,0,977,0,336.0,0,0,0,0,0,25,0,9206,46,0,6,77.0,5,0,178000
0,0,30,0,0,0,0,0,0,1,0,1,0,1,1535,90,0,2,0,0,0,410,0,0,0,0,1,1,1,0,0,1535,1,0.0,0,0,0,0,0,30,0,7018,0,0,5,64.0,5,0,118964
0,0,1,0,0,1,0,0,0,0,1,1,0,1,1226,20,0,2,0,0,0,740,1226,0,1,0,0,1,1,0,0,1226,0,0.0,0,0,0,0,0,1,0,10402,36,0,7,94.0,5,0,198900
0,0,76,0,0,0,0,0,0,1,0,0,1,0,1818,50,0,1,224,0,0,240,816,0,0,0,0,1,1,0,1,1226,0,600.0,0,0,0,184,0,57,0,7758,0,0,7,69.0,4,0,169500
0,1,5,140,0,0,0,0,0,0,1,1,1,0,1992,60,0,2,0,0,0,648,1053,0,1,0,0,1,1,0,0,1053,0,768.0,0,0,0,0,1,4,0,9375,45,0,8,75.0,5,0,250000
0,0,122,0,0,0,0,0,0,1,1,0,0,1,1047,30,0,1,0,0,0,273,641,0,0,0,0,1,1,0,1,1047,0,0.0,0,0,0,0,0,12,0,10800,0,0,4,60.0,7,1,100000
0,0,60,0,0,0,0,169,0,1,1,0,0,1,789,20,0,1,104,0,1,250,516,0,0,0,0,1,1,0,1,789,0,0.0,0,0,0,0,0,58,0,6000,0,0,5,50.0,5,0,115000
0,0,88,0,144,0,0,0,1,1,0,1,0,1,1517,50,0,2,0,0,1,0,793,0,0,0,1,0,1,0,1,997,0,0.0,0,0,1,0,0,2,0,8500,0,0,5,85.0,7,0,115000
0,0,33,0,0,1,0,0,0,0,0,1,0,0,1844,20,0,2,705,0,1,546,1139,0,1,0,0,1,1,0,0,1844,0,480.0,0,0,0,0,0,33,0,11751,122,0,6,105.0,6,0,190000
0,0,52,182,0,0,0,0,0,1,0,1,0,1,1855,50,0,2,444,0,1,325,550,0,0,0,0,1,1,0,0,1216,0,0.0,0,0,0,0,0,34,0,9525,0,0,6,75.0,4,0,136900
0,0,10,180,0,1,0,0,0,0,1,0,1,0,1430,80,0,2,250,0,0,400,134,0,0,0,0,1,1,0,0,774,0,0.0,0,0,0,0,0,10,1,7750,0,1,7,69.0,5,0,180000
1,1,0,120,0,0,0,0,0,0,1,0,1,0,2696,60,0,2,984,0,0,792,280,0,0,0,0,1,1,0,0,1282,0,220.0,0,0,0,168,0,0,1,9965,184,1,7,77.0,5,0,383970
0,0,54,166,192,1,0,869,0,1,0,0,0,0,2259,20,0,2,35,0,1,450,905,0,0,0,1,1,1,1,0,2259,0,184.0,0,0,0,0,0,54,0,21000,120,0,6,69.0,5,0,217000
0,0,62,224,0,0,0,150,0,1,0,0,1,0,2320,70,0,2,774,0,1,180,104,0,0,0,0,1,1,1,0,1436,0,0.0,0,0,0,0,0,5,0,7259,0,0,6,61.0,8,0,259500
0,0,8,0,0,1,0,0,0,1,0,0,1,0,1458,160,0,2,419,0,0,440,310,0,0,0,0,1,1,0,0,729,0,1129.0,1,0,0,0,1,8,0,3230,32,1,6,34.0,5,0,176000
0,0,47,0,144,0,0,670,0,1,0,1,0,0,1092,20,0,1,170,0,1,288,252,0,0,0,1,1,1,0,0,1092,0,116.0,0,0,0,0,0,47,0,11616,20,0,5,69.0,5,0,139000
0,0,1,80,0,1,0,0,0,1,1,1,1,1,1125,20,0,1,0,0,0,430,1125,0,0,0,0,1,1,0,0,1125,0,0.0,0,0,0,0,0,0,0,8536,64,0,5,74.0,5,0,155000
0,1,1,0,0,1,0,0,0,0,1,1,1,0,1456,60,0,2,0,0,0,390,728,0,0,0,0,1,1,0,0,728,0,0.0,0,0,0,0,0,0,0,8461,24,0,6,65.0,5,0,163990
0,0,37,0,0,0,0,0,0,1,0,1,0,0,988,80,0,1,938,0,1,540,0,1,0,0,0,1,1,0,0,988,0,0.0,0,0,0,0,0,37,0,21453,130,0,6,69.0,5,0,180000
0,0,68,0,140,0,0,0,0,1,0,0,0,1,1123,50,0,1,0,0,0,264,732,0,0,0,0,1,1,0,1,772,0,0.0,0,0,0,0,0,57,0,6060,0,0,4,50.0,5,0,100000
0,0,50,0,0,0,0,0,0,1,0,1,0,1,1080,20,0,1,570,0,1,288,510,0,0,0,0,1,1,0,0,1080,0,135.0,0,0,0,130,0,50,0,9464,0,0,6,75.0,7,0,136000
0,1,15,0,0,1,0,0,0,0,0,1,0,1,1199,120,0,2,300,0,0,530,899,0,1,0,0,1,1,0,0,1199,0,0.0,1,0,0,0,0,15,0,7892,63,1,6,55.0,5,0,153900
0,0,30,192,0,1,0,0,0,1,0,1,0,0,1586,20,0,2,0,0,1,435,1362,0,0,0,1,1,1,0,0,1586,0,0.0,0,0,0,0,0,11,0,17043,0,0,6,48.0,5,0,181000
0,0,71,53,0,0,0,0,0,1,0,1,0,1,754,190,0,1,490,0,1,0,30,0,0,0,0,1,1,0,1,520,0,0.0,0,0,0,0,0,24,0,6780,0,1,6,60.0,8,0,84500
0,0,77,0,0,0,0,0,0,1,0,1,0,0,840,45,0,1,116,0,0,0,556,0,0,0,0,0,1,0,1,840,0,0.0,0,0,0,0,0,57,0,4388,0,0,5,55.0,7,0,87000
0,0,40,188,0,0,0,0,0,0,1,1,1,0,1348,60,0,1,512,0,1,453,148,0,1,0,1,0,1,0,0,660,0,266.0,0,0,0,0,0,40,0,7590,108,0,6,69.0,5,0,155000
0,0,48,0,0,0,0,28,0,0,0,0,1,1,1053,20,0,1,567,0,1,750,413,0,1,0,1,1,1,0,0,1053,0,85.0,0,0,0,0,0,15,0,8973,80,0,5,69.0,7,0,150000
0,0,40,105,0,0,0,0,0,0,0,1,1,0,2157,60,0,2,445,0,1,487,479,0,0,0,0,1,1,0,0,1216,0,309.0,0,0,0,0,0,40,0,14200,66,0,7,88.0,6,0,226000
0,1,9,24,0,1,0,0,0,0,1,0,1,0,2054,60,0,2,695,0,0,390,297,0,1,0,0,1,1,0,0,1022,0,40.0,0,0,0,0,0,9,1,12224,48,1,6,69.0,5,0,244000
0,0,48,0,0,0,0,0,0,1,0,0,0,1,1327,20,0,1,405,0,1,624,658,0,0,0,0,1,1,0,0,1327,0,0.0,0,0,0,0,0,5,0,7388,0,0,5,75.0,6,0,150750
